Object ID,Object URL
275,https://www.metmuseum.org/art/collection/search/3106
276,https://www.metmuseum.org/art/collection/search/3107
277,https://www.metmuseum.org/art/collection/search/3108
278,https://www.metmuseum.org/art/collection/search/3109
279,https://www.metmuseum.org/art/collection/search/3110
280,https://www.metmuseum.org/art/collection/search/3111
281,https://www.metmuseum.org/art/collection/search/3112
282,https://www.metmuseum.org/art/collection/search/3188
283,https://www.metmuseum.org/art/collection/search/3222
284,https://www.metmuseum.org/art/collection/search/3234
285,https://www.metmuseum.org/art/collection/search/3235
286,https://www.metmuseum.org/art/collection/search/3318
287,https://www.metmuseum.org/art/collection/search/3319
288,https://www.metmuseum.org/art/collection/search/3323
289,https://www.metmuseum.org/art/collection/search/3324
290,https://www.metmuseum.org/art/collection/search/3326
291,https://www.metmuseum.org/art/collection/search/3333
292,https://www.metmuseum.org/art/collection/search/3334
293,https://www.metmuseum.org/art/collection/search/3335
294,https://www.metmuseum.org/art/collection/search/3336
295,https://www.metmuseum.org/art/collection/search/3339
296,https://www.metmuseum.org/art/collection/search/3340
297,https://www.metmuseum.org/art/collection/search/3341
298,https://www.metmuseum.org/art/collection/search/3342
299,https://www.metmuseum.org/art/collection/search/3343
300,https://www.metmuseum.org/art/collection/search/3415
301,https://www.metmuseum.org/art/collection/search/3558
302,https://www.metmuseum.org/art/collection/search/3583
303,https://www.metmuseum.org/art/collection/search/3686
304,https://www.metmuseum.org/art/collection/search/3761
305,https://www.metmuseum.org/art/collection/search/3762
306,https://www.metmuseum.org/art/collection/search/3850
307,https://www.metmuseum.org/art/collection/search/4269
308,https://www.metmuseum.org/art/collection/search/4270
309,https://www.metmuseum.org/art/collection/search/4281
310,https://www.metmuseum.org/art/collection/search/4401
311,https://www.metmuseum.org/art/collection/search/4402
312,https://www.metmuseum.org/art/collection/search/4403
313,https://www.metmuseum.org/art/collection/search/4404
314,https://www.metmuseum.org/art/collection/search/4405
315,https://www.metmuseum.org/art/collection/search/4406
316,https://www.metmuseum.org/art/collection/search/4448
317,https://www.metmuseum.org/art/collection/search/4515
318,https://www.metmuseum.org/art/collection/search/4516
319,https://www.metmuseum.org/art/collection/search/4517
320,https://www.metmuseum.org/art/collection/search/4518
321,https://www.metmuseum.org/art/collection/search/4519
322,https://www.metmuseum.org/art/collection/search/4520
323,https://www.metmuseum.org/art/collection/search/4523
324,https://www.metmuseum.org/art/collection/search/4524
325,https://www.metmuseum.org/art/collection/search/4527
326,https://www.metmuseum.org/art/collection/search/4528
327,https://www.metmuseum.org/art/collection/search/5002
328,https://www.metmuseum.org/art/collection/search/5225
329,https://www.metmuseum.org/art/collection/search/5300
330,https://www.metmuseum.org/art/collection/search/5301
331,https://www.metmuseum.org/art/collection/search/5310
332,https://www.metmuseum.org/art/collection/search/5379
333,https://www.metmuseum.org/art/collection/search/5401
334,https://www.metmuseum.org/art/collection/search/5415
335,https://www.metmuseum.org/art/collection/search/5481
336,https://www.metmuseum.org/art/collection/search/5517
337,https://www.metmuseum.org/art/collection/search/5582
338,https://www.metmuseum.org/art/collection/search/5602
339,https://www.metmuseum.org/art/collection/search/5642
340,https://www.metmuseum.org/art/collection/search/5777
341,https://www.metmuseum.org/art/collection/search/5849
342,https://www.metmuseum.org/art/collection/search/5854
343,https://www.metmuseum.org/art/collection/search/5880
344,https://www.metmuseum.org/art/collection/search/5977
345,https://www.metmuseum.org/art/collection/search/5988
346,https://www.metmuseum.org/art/collection/search/5993
347,https://www.metmuseum.org/art/collection/search/6015
348,https://www.metmuseum.org/art/collection/search/6038
349,https://www.metmuseum.org/art/collection/search/6045
350,https://www.metmuseum.org/art/collection/search/6047
351,https://www.metmuseum.org/art/collection/search/6048
352,https://www.metmuseum.org/art/collection/search/6085
353,https://www.metmuseum.org/art/collection/search/6086
354,https://www.metmuseum.org/art/collection/search/6090
355,https://www.metmuseum.org/art/collection/search/6121
356,https://www.metmuseum.org/art/collection/search/6159
357,https://www.metmuseum.org/art/collection/search/6178
358,https://www.metmuseum.org/art/collection/search/6179
359,https://www.metmuseum.org/art/collection/search/6182
360,https://www.metmuseum.org/art/collection/search/6183
361,https://www.metmuseum.org/art/collection/search/6224
362,https://www.metmuseum.org/art/collection/search/6225
363,https://www.metmuseum.org/art/collection/search/6226
364,https://www.metmuseum.org/art/collection/search/6228
365,https://www.metmuseum.org/art/collection/search/6229
366,https://www.metmuseum.org/art/collection/search/6230
367,https://www.metmuseum.org/art/collection/search/6231
368,https://www.metmuseum.org/art/collection/search/6235
369,https://www.metmuseum.org/art/collection/search/6236
370,https://www.metmuseum.org/art/collection/search/6237
371,https://www.metmuseum.org/art/collection/search/6258
372,https://www.metmuseum.org/art/collection/search/6259
373,https://www.metmuseum.org/art/collection/search/6260
374,https://www.metmuseum.org/art/collection/search/6261
375,https://www.metmuseum.org/art/collection/search/6262
376,https://www.metmuseum.org/art/collection/search/6263
377,https://www.metmuseum.org/art/collection/search/6264
378,https://www.metmuseum.org/art/collection/search/6265
379,https://www.metmuseum.org/art/collection/search/6266
380,https://www.metmuseum.org/art/collection/search/6267
381,https://www.metmuseum.org/art/collection/search/6268
382,https://www.metmuseum.org/art/collection/search/6269
383,https://www.metmuseum.org/art/collection/search/6270
384,https://www.metmuseum.org/art/collection/search/6271
385,https://www.metmuseum.org/art/collection/search/6272
386,https://www.metmuseum.org/art/collection/search/6273
387,https://www.metmuseum.org/art/collection/search/6274
388,https://www.metmuseum.org/art/collection/search/6275
389,https://www.metmuseum.org/art/collection/search/6276
390,https://www.metmuseum.org/art/collection/search/6277
391,https://www.metmuseum.org/art/collection/search/6278
